City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,pevek,69.7008,170.3133,-10.91,76,99,5.6,RU,1680275069
1,shunyi,40.125,116.6453,16.97,34,0,4.0,CN,1680275069
2,santa maria,-29.6842,-53.8069,28.61,54,0,4.63,BR,1680275069
3,kyzyl-suu,42.3414,78.0056,6.39,66,39,1.89,KG,1680275069
4,norman wells,65.282,-126.8329,-13.98,66,75,7.2,CA,1680275069
5,sitka,57.0531,-135.33,5.94,61,100,6.17,US,1680275069
6,celestun,20.8667,-90.4,27.49,59,63,5.82,MX,1680275069
7,warangal,18.0,79.5833,27.45,48,10,1.56,IN,1680275070
8,faanui,-16.4833,-151.75,27.81,72,34,3.57,PF,1680275070
9,bambous virieux,-20.3428,57.7575,28.14,74,40,5.14,MU,1680275071
10,tiznit,29.5833,-9.5,30.55,11,0,6.01,MA,1680275071
11,ushuaia,-54.8,-68.3,8.79,71,20,0.51,AR,1680275071
12,bam,29.106,58.357,24.91,20,71,5.78,IR,1680275072
13,deputatskiy,69.3,139.9,-24.03,96,100,2.46,RU,1680275072
14,rikitea,-23.1203,-134.9692,25.78,77,80,2.84,PF,1680275072
15,hermanus,-34.4187,19.2345,22.11,67,8,3.66,ZA,1680275072
16,tiksi,71.6872,128.8694,-30.8,100,42,3.45,RU,1680275073
17,tawau,4.2498,117.8871,25.07,88,69,1.61,MY,1680275073
18,hondo,32.45,130.2,15.44,68,86,1.4,JP,1680275073
19,aklavik,68.2191,-135.0107,-27.7,99,45,1.65,CA,1680275074
20,lagoa,39.05,-27.9833,16.39,88,100,10.48,PT,1680275074
21,maryborough,-25.5333,152.7,17.58,78,93,1.48,AU,1680275074
22,cape town,-33.9258,18.4232,22.16,69,0,11.83,ZA,1680274800
23,provideniya,64.3833,-173.3,-16.56,88,15,3.1,RU,1680275074
24,vaini,-21.2,-175.2,24.09,94,20,2.57,TO,1680275074
25,chkalovskoye,44.8392,133.0436,5.16,42,0,2.08,RU,1680275074
26,saint-philippe,-21.3585,55.7679,27.77,84,48,5.08,RE,1680275075
27,ribeira grande,38.5167,-28.7,18.22,88,40,7.72,PT,1680275075
28,yurimaguas,-5.9,-76.0833,26.09,83,100,2.57,PE,1680275075
29,nikolskoye,59.7035,30.7861,1.94,99,99,1.63,RU,1680275075
30,conde,-7.2597,-34.9075,29.7,58,20,6.17,BR,1680275075
31,cabo san lucas,22.8909,-109.9124,23.17,41,0,4.12,MX,1680275076
32,salalah,17.0151,54.0924,28.05,65,0,3.6,OM,1680275076
33,mercedes,-34.6515,-59.4307,20.53,23,16,8.58,AR,1680275076
34,ancud,-41.8697,-73.8203,11.85,57,100,3.16,CL,1680275076
35,bluff,-46.6,168.3333,10.32,91,76,2.73,NZ,1680275076
36,upington,-28.4478,21.2561,31.21,13,0,1.54,ZA,1680275076
37,east london,-33.0153,27.9116,22.52,60,0,2.57,ZA,1680275077
38,oranjemund,-28.55,16.4333,20.03,65,100,8.04,NA,1680275077
39,codrington,-38.2667,141.9667,12.3,65,100,4.54,AU,1680275077
40,sao filipe,14.8961,-24.4956,25.01,68,68,4.35,CV,1680275077
41,atuona,-9.8,-139.0333,26.86,78,67,7.87,PF,1680275077
42,cherskiy,68.75,161.3,-4.68,97,100,3.03,RU,1680275077
43,klaksvik,62.2266,-6.589,6.51,91,100,11.68,FO,1680275077
44,manyana,-23.4,21.7167,29.16,26,81,1.77,BW,1680275077
45,port elizabeth,-33.918,25.5701,21.17,65,0,5.14,ZA,1680274910
46,barrow,71.2906,-156.7887,-14.99,85,100,1.54,US,1680275077
47,mataura,-46.1927,168.8643,7.73,99,90,1.38,NZ,1680275077
48,severomuysk,56.1481,113.4267,-15.19,96,100,3.93,RU,1680274963
49,palm beach,26.6503,-80.4498,26.99,64,8,6.57,US,1680274793
50,jieshi,22.8134,115.8257,20.52,86,100,5.19,CN,1680275078
51,punta arenas,-53.15,-70.9167,10.01,63,0,13.89,CL,1680275058
52,nhulunbuy,-12.2333,136.7667,25.34,94,11,0.51,AU,1680275078
53,hobart,-42.8794,147.3294,8.92,69,35,4.63,AU,1680274837
54,srinagar,34.0833,74.8167,11.39,78,100,1.25,IN,1680275078
55,ponta do sol,32.6667,-17.1,24.51,48,0,3.06,PT,1680275078
56,isangel,-19.55,169.2667,24.86,79,100,1.46,VU,1680275078
57,sept-iles,50.2001,-66.3821,0.59,95,100,2.57,CA,1680275059
58,awka,6.2101,7.0741,32.83,46,96,2.17,NG,1680275079
59,kavaratti,10.5669,72.642,27.44,71,3,5.12,IN,1680275079
60,albany,42.6001,-73.9662,7.25,43,99,1.34,US,1680275000
61,lasa,46.6166,10.7002,8.53,99,100,2.0,IT,1680275079
62,hilo,19.7297,-155.09,21.25,94,100,3.09,US,1680274833
63,sakakah,29.9697,40.2064,18.76,19,0,7.47,SA,1680275079
64,khatanga,71.9667,102.5,-21.46,94,92,6.26,RU,1680275079
65,mar del plata,-38.0023,-57.5575,15.53,67,40,7.72,AR,1680275080
66,esperance,-33.8667,121.9,18.18,73,100,7.27,AU,1680275080
67,puerto ayora,-0.7393,-90.3518,28.98,95,38,1.34,EC,1680275080
68,jiaonan,35.8786,119.9753,9.51,53,73,1.99,CN,1680275080
69,jamestown,42.097,-79.2353,7.77,61,100,5.14,US,1680275017
70,chuy,-33.6971,-53.4616,19.88,92,99,5.66,UY,1680275081
71,lebu,-37.6167,-73.65,15.6,51,9,3.32,CL,1680275081
72,bethel,41.3712,-73.414,8.36,50,40,3.6,US,1680275020
73,yulara,-25.2406,130.9889,17.15,66,100,7.71,AU,1680275081
74,najran,17.4924,44.1277,33.36,32,46,7.43,SA,1680275081
75,presidente bernardes,-22.0061,-51.5531,30.21,62,32,1.32,BR,1680275082
76,berlevag,70.8578,29.0864,-5.0,73,0,4.12,NO,1680275082
77,kloulklubed,7.0419,134.2556,24.28,71,1,1.17,PW,1680275082
78,tasiilaq,65.6145,-37.6368,0.38,69,100,1.43,GL,1680274990
79,muros,42.7762,-9.0603,16.72,74,100,6.13,ES,1680275082
80,vilhena,-12.7406,-60.1458,28.12,74,20,4.12,BR,1680275082
81,bredasdorp,-34.5322,20.0403,21.36,52,6,3.59,ZA,1680275083
82,mahebourg,-20.4081,57.7,28.16,74,40,5.14,MU,1680275083
83,arraial do cabo,-22.9661,-42.0278,28.98,65,0,4.12,BR,1680275081
84,qaanaaq,77.484,-69.3632,-23.1,72,25,1.73,GL,1680275084
85,altayskoye,51.9533,85.3325,-7.75,92,100,2.34,RU,1680275084
86,elliot lake,46.3834,-82.6331,-1.14,96,100,4.41,CA,1680274903
87,busselton,-33.65,115.3333,17.63,67,100,6.66,AU,1680275084
88,butaritari,3.0707,172.7902,27.0,81,100,3.44,KI,1680275084
89,kruisfontein,-34.0033,24.7314,19.94,60,69,4.2,ZA,1680275084
90,laramie,41.3114,-105.5911,-0.02,52,40,10.8,US,1680275084
91,kavieng,-2.5744,150.7967,27.12,75,94,1.16,PG,1680275084
92,upernavik,72.7868,-56.1549,-24.97,83,3,3.3,GL,1680275084
93,port alfred,-33.5906,26.891,20.1,76,100,1.34,ZA,1680274844
94,saldanha,-33.0117,17.9442,18.24,74,32,8.39,ZA,1680275084
95,nawada,24.8833,85.5333,26.89,37,81,0.68,IN,1680275084
96,nanortalik,60.1432,-45.2371,-2.07,77,45,3.1,GL,1680275084
97,marovoay,-16.1,46.6333,27.35,80,99,1.97,MG,1680275084
98,saskylakh,71.9167,114.0833,-20.51,95,95,5.94,RU,1680275084
99,carnarvon,-24.8667,113.6333,23.71,70,81,3.83,AU,1680275084
100,dikson,73.5069,80.5464,-13.64,94,100,11.52,RU,1680275084
101,kourou,5.1552,-52.6478,29.03,65,88,4.44,GF,1680275084
102,nakamura,32.9833,132.9333,11.37,87,77,1.38,JP,1680275084
103,kapaa,22.0752,-159.319,22.28,92,100,1.54,US,1680275085
104,lamar,33.6668,-95.5836,22.58,94,100,8.23,US,1680275085
105,belyy yar,53.6039,91.3903,-7.3,67,40,7.0,RU,1680275085
106,new norfolk,-42.7826,147.0587,8.72,66,24,1.55,AU,1680275085
107,inhambane,-23.865,35.3833,24.89,73,83,3.23,MZ,1680275085
108,souillac,-20.5167,57.5167,28.21,74,40,5.14,MU,1680275085
109,la roda,39.2167,-2.15,23.85,32,88,11.1,ES,1680275086
110,lucapa,-8.4192,20.7447,22.75,80,86,1.81,AO,1680275086
111,hasaki,35.7333,140.8333,11.79,73,2,5.24,JP,1680275086
112,ulaanbaatar,47.9077,106.8832,-0.93,64,0,5.0,MN,1680275086
113,belmonte,-15.8631,-38.8828,28.04,68,28,2.9,BR,1680275086
114,lensk,60.7253,114.9278,-9.91,93,100,2.61,RU,1680275086
115,zhigalovo,54.8097,105.1578,-9.55,83,71,3.61,RU,1680275086
116,ambilobe,-13.2,49.05,24.94,90,82,1.41,MG,1680275087
117,bonthe,7.5264,-12.505,30.38,59,43,5.47,SL,1680275087
118,panzhihua,26.5851,101.7128,18.06,39,1,0.88,CN,1680275087
119,te anau,-45.4167,167.7167,8.56,92,100,0.83,NZ,1680275088
